Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT2G42040	159	151	54	211	74	18
AT2G25180	613	492	177	691	312	57
AT2G37520	413	471	141	741	431	68
AT2G23370	125	128	42	177	83	19
AT2G07721	2	1	0	0	0	0
AT2G39220	19	18	13	202	52	20
AT2G22920	275	438	150	671	277	41
AT2G34655	3	1	0	17	6	2
AT2G34300	805	705	214	1431	650	162
AT2G41820	263	261	100	788	305	111
AT2G29065	86	125	43	287	139	25
AT2G36695	1	0	0	3	2	0
AT2G41280	0	0	0	0	0	0
AT2G08986	3	0	0	0	0	0
AT2G33240	25	31	8	50	31	1
AT2G10455	0	1	0	0	0	0
AT2G26360	117	105	45	84	35	10
AT2G42120	107	88	32	158	93	24
AT2G02240	1	2	0	4	2	0
AT2G44690	25	19	15	29	23	4
AT2G07120	0	0	0	0	0	0
AT2G22990	607	427	185	41	32	3
AT2G17290	1325	1452	564	2771	1306	257
AT2G19960	12	22	3	3	2	1
AT2G11015	0	0	0	0	0	0
AT2G32788	0	0	0	0	0	0
AT2G15630	22	19	6	37	21	4
AT2G44390	22	18	5	2	2	0
AT2G22125	2992	2604	854	2721	1263	211
AT2G39550	394	375	134	488	208	37
AT2G40830	298	290	69	442	249	33
AT2G22140	9	12	4	8	7	4
AT2G24850	5	1	0	97	35	2
AT2G31320	149	125	38	212	89	27
AT2G18730	583	612	237	1135	475	96
AT2G16230	56	37	7	23	18	0
AT2G24120	357	347	148	373	201	39
AT2G24510	0	0	0	0	0	0
AT2G42885	0	0	0	0	1	0
AT2G38690	1	0	1	9	0	0
AT2G36895	173	224	71	237	100	22
AT2G39870	335	233	80	422	241	41
AT2G23150	219	152	55	1877	862	254
AT2G40630	143	155	51	228	122	27
AT2G39670	246	242	73	352	146	40
AT2G24692	0	0	0	0	0	0
AT2G01090	54	66	18	73	23	7
AT2G35736	86	98	32	124	60	12
AT2G45000	278	263	84	320	181	26
AT2G38700	1190	1063	363	1777	713	160
AT2G27389	108	74	27	283	168	56
AT2G20260	135	66	18	61	35	7
AT2G16380	116	142	51	162	83	18
AT2G01520	6884	7467	2570	17441	6348	890
AT2G22850	1	1	0	1	0	0
AT2G45360	62	45	12	31	11	4
AT2G46020	1729	1755	645	2486	1118	233
AT2G04040	179	146	54	309	292	48
AT2G38050	210	204	65	282	120	18
AT2G16405	269	254	93	376	161	34
AT2G23770	657	739	259	815	362	65
AT2G20930	134	134	36	179	85	22
AT2G44175	0	0	0	0	0	0
AT2G31430	0	0	0	0	0	0
AT2G34010	8	9	5	14	9	0
AT2G22760	4	4	0	45	20	1
AT2G04050	5	0	0	65	93	31
AT2G07798	6	5	1	5	3	2
AT2G35510	602	667	256	1018	468	100
AT2G03070	220	140	69	291	151	34
AT2G27190	862	714	306	1137	549	111
AT2G32200	1	0	0	9	8	4
AT2G33670	1	0	0	0	0	0
AT2G45610	0	1	0	0	0	0
AT2G14080	52	50	17	33	15	3
AT2G24090	158	157	41	100	57	20
AT2G40370	344	297	96	810	409	54
AT2G05760	37	31	12	75	28	6
AT2G15900	684	756	279	771	372	75
AT2G35550	7	6	3	21	19	5
AT2G26160	0	0	0	0	0	0
AT2G03560	0	0	0	0	0	0
AT2G35585	89	109	34	163	61	17
AT2G19520	570	376	128	787	388	86
AT2G38320	174	204	58	100	51	9
AT2G40260	152	146	70	312	147	22
AT2G17830	31	17	8	41	21	4
AT2G33410	741	643	244	1059	520	129
AT2G35820	5	4	1	14	4	1
AT2G26400	0	1	0	20	15	8
AT2G02320	0	0	0	30	22	4
AT2G41310	839	1387	455	770	333	44
AT2G33835	126	132	40	188	89	22
AT2G20635	92	71	35	95	64	16
AT2G42710	288	276	76	456	227	54
AT2G10615	0	0	0	0	0	0
AT2G12280	0	0	0	0	0	0
AT2G23910	85	400	89	318	125	29
AT2G20880	2	1	0	2	2	0
AT2G28230	124	114	50	176	89	23
AT2G33250	141	167	55	125	67	12
AT2G28440	68	45	13	69	23	3
AT2G01400	28	28	7	22	13	2
AT2G26260	223	206	61	266	117	25
AT2G13290	104	115	32	122	54	14
AT2G37580	48	39	22	161	60	10
AT2G47450	257	123	56	87	43	4
AT2G37320	22	26	6	29	16	15
AT2G23780	526	579	184	693	318	94
AT2G36550	0	0	0	0	0	0
AT2G45050	211	107	30	73	37	5
AT2G16910	4	9	1	10	3	2
AT2G17430	135	153	56	125	71	11
AT2G03730	883	1030	386	1055	710	102
AT2G27320	0	0	0	0	0	0
AT2G20921	0	0	0	0	0	0
AT2G43950	279	214	89	449	215	59
AT2G40113	185	188	86	255	216	48
AT2G45550	2	5	1	57	15	10
AT2G43810	188	202	76	291	143	52
AT2G33990	377	406	124	193	117	26
AT2G28240	111	92	37	137	76	6
AT2G17250	341	368	97	555	289	72
AT2G46370	1928	1813	609	2626	1223	209
AT2G35630	1757	1714	688	2079	980	172
AT2G31760	0	0	0	0	0	0
AT2G38610	161	171	84	335	200	47
AT2G02070	101	69	23	69	23	7
AT2G22426	0	0	0	3	1	1
AT2G18420	0	0	0	0	0	0
AT2G17650	60	49	27	37	17	4
AT2G42550	0	0	0	0	0	0
AT2G31710	132	155	37	168	91	13
AT2G41475	1127	1313	398	1601	696	142
AT2G47280	0	0	0	0	0	0
AT2G18060	16	19	3	30	17	4
AT2G05160	111	116	39	23	13	1
AT2G43410	509	538	168	822	437	81
AT2G23290	163	130	38	199	97	26
AT2G17900	99	98	54	221	140	23
AT2G19620	73	68	17	75	49	6
AT2G18290	75	86	33	114	53	27
AT2G32750	9	1	2	14	7	5
AT2G46580	98	91	30	158	63	28
AT2G47680	68	78	24	226	91	21
AT2G44370	855	657	234	316	161	25
AT2G37190	2008	1455	386	2352	1212	318
AT2G19720	39	49	11	78	30	8
AT2G16500	1111	960	324	2432	1206	249
AT2G36305	101	93	31	160	64	14
AT2G21180	105	143	37	325	140	37
AT2G04850	123	81	35	103	44	7
AT2G19060	140	173	28	5	6	0
AT2G19045	0	0	0	0	0	0
AT2G32560	210	259	80	712	352	112
AT2G29350	24	20	6	268	229	64
AT2G36340	138	103	42	246	89	28
AT2G07830	0	0	0	0	0	0
AT2G20613	0	0	0	0	0	0
AT2G35200	18	13	5	13	9	1
AT2G25355	40	69	19	109	53	13
AT2G07774	3	1	0	4	1	0
AT2G29420	190	256	49	767	361	82
AT2G33560	67	64	24	81	43	10
AT2G24765	565	541	190	621	295	69
AT2G30810	0	0	0	0	0	0
AT2G07180	580	631	224	508	321	73
AT2G27950	542	530	199	668	346	76
AT2G04920	0	0	0	0	0	0
AT2G04890	186	192	76	199	94	25
AT2G17036	27	22	12	11	8	1
AT2G48060	910	1009	424	1379	615	123
AT2G41770	313	339	112	424	176	46
AT2G29480	13	14	0	36	33	11
AT2G20815	47	50	22	52	26	6
AT2G25685	0	0	0	0	0	0
AT2G30500	1040	1081	368	1372	688	145
AT2G34185	4	12	1	4	1	0
AT2G38440	790	793	283	1146	469	105
AT2G03850	7	1	0	3	2	0
AT2G25300	99	93	32	98	43	18
AT2G16440	222	135	39	317	139	40
AT2G40980	286	306	115	322	149	24
AT2G22830	94	63	34	141	53	8
AT2G35760	13	9	6	39	17	8
AT2G36360	296	242	140	461	160	36
AT2G03110	7	6	2	21	8	1
AT2G32830	1	1	0	9	3	0
AT2G18020	4491	2619	778	5972	2705	593
AT2G39420	1150	1131	475	1307	563	116
AT2G46590	132	148	47	481	248	55
AT2G43490	300	331	148	616	241	63
AT2G35460	0	0	0	0	0	0
AT2G05105	0	0	0	0	0	0
AT2G28940	333	282	113	498	235	50
AT2G31490	407	486	113	725	329	103
AT2G07725	9	2	0	0	0	0
AT2G25360	0	0	0	0	0	0
AT2G20520	80	198	35	197	58	4
AT2G40840	769	674	212	929	574	107
AT2G40510	984	632	181	1517	635	123
AT2G04830	0	0	0	0	0	0
AT2G38270	203	207	62	349	159	43
AT2G16950	1238	1277	456	1827	887	197
AT2G15820	74	99	40	122	62	17
AT2G19940	246	213	75	444	211	63
AT2G28840	5111	4127	1503	3894	2226	422
AT2G21500	213	201	65	394	204	41
AT2G28225	0	0	0	0	1	0
AT2G36320	3052	3343	754	1359	763	158
AT2G32070	430	525	128	782	383	89
AT2G25890	0	0	0	0	0	0
AT2G05335	0	0	0	0	0	0
AT2G41750	1	0	0	1	0	0
AT2G35215	0	0	0	0	0	0
AT2G36010	46	27	17	53	34	11
AT2G44470	1	0	0	1	1	0
AT2G05850	0	0	0	0	0	0
AT2G01890	984	1324	530	1911	765	120
AT2G41650	172	166	53	322	123	53
AT2G42000	0	0	0	0	0	0
AT2G42900	24	21	3	5	3	0
AT2G33170	423	363	132	511	249	63
AT2G25790	500	653	224	1723	869	253
AT2G22860	71	250	16	104	52	17
AT2G42640	74	69	21	125	60	14
AT2G44930	0	0	0	2	0	0
AT2G40150	174	210	67	189	86	12
AT2G37280	195	223	88	982	414	100
AT2G40316	266	279	83	296	110	24
AT2G45530	70	62	37	65	43	4
AT2G07698	61	6	2	34	15	2
AT2G03040	0	0	0	0	0	0
AT2G15290	198	170	37	325	149	28
AT2G35160	45	54	14	68	32	9
AT2G16640	955	899	324	1318	613	131
AT2G35600	31	16	7	26	18	7
AT2G47320	823	752	291	1035	499	113
AT2G34780	295	304	109	367	204	52
AT2G43090	1063	905	243	2047	892	268
AT2G47760	261	245	93	363	157	44
AT2G47900	621	661	182	783	417	91
AT2G47010	16	8	4	42	27	8
AT2G35580	0	0	0	0	0	0
AT2G30350	90	77	26	72	48	10
AT2G42800	0	0	0	3	0	0
AT2G39200	1058	932	321	275	122	22
AT2G28780	888	251	237	678	440	86
AT2G38970	135	149	38	279	120	32
AT2G07440	0	0	0	0	0	0
AT2G35210	58	61	16	29	13	1
AT2G05990	864	833	205	1001	426	115
AT2G34840	151	139	42	259	102	27
AT2G16980	298	208	103	290	104	21
AT2G34570	81	120	33	143	82	18
AT2G28085	0	0	0	0	0	0
AT2G30410	331	322	96	425	178	48
AT2G15730	71	75	27	129	48	16
AT2G17680	3	0	0	2	0	0
AT2G35980	103	104	27	522	413	94
AT2G25200	38	15	6	46	34	4
AT2G45740	221	212	68	193	80	19
AT2G37050	1157	887	346	1211	532	121
AT2G47950	2	0	0	15	9	1
AT2G11778	1	0	0	0	0	0
AT2G25580	141	149	58	198	88	23
AT2G29180	42	52	8	22	14	0
AT2G37620	175	114	44	308	119	22
AT2G46760	69	51	21	61	26	5
AT2G41250	212	207	98	241	97	29
AT2G35120	831	889	213	1320	597	118
AT2G22640	71	109	26	103	66	13
AT2G45405	0	1	0	0	0	0
AT2G06166	0	0	0	0	0	0
AT2G01500	0	0	0	0	0	0
AT2G21750	0	0	0	0	0	0
AT2G44410	439	411	152	642	317	108
AT2G03520	0	0	0	0	0	0
AT2G41630	624	693	220	984	482	125
AT2G28040	5	3	1	3	2	1
AT2G45180	659	505	165	238	71	15
AT2G23445	0	0	0	0	0	0
AT2G26120	0	0	0	0	0	0
AT2G01120	90	80	29	106	59	13
AT2G26550	146	131	57	201	79	25
AT2G43200	215	170	84	205	84	18
AT2G15090	28	22	6	53	34	14
AT2G27505	2	0	0	7	1	1
AT2G04360	202	237	84	217	147	29
AT2G26940	0	2	0	1	2	0
AT2G41225	0	0	0	0	0	0
AT2G26250	448	378	123	586	316	92
AT2G30080	83	72	27	119	72	14
AT2G45340	173	89	39	106	87	15
AT2G34640	165	142	49	159	74	13
AT2G32520	790	849	221	1055	501	143
AT2G26150	10	34	4	367	351	64
AT2G15970	3174	3931	1006	1678	1488	188
AT2G35765	0	0	0	0	0	0
AT2G01900	408	416	171	341	184	29
AT2G28755	22	20	16	38	14	1
AT2G37450	82	68	26	28	24	5
AT2G29670	100	58	29	144	78	13
AT2G18980	1117	936	233	2229	899	134
AT2G47110	2531	1767	466	3652	1698	447
AT2G31190	96	93	18	90	51	8
AT2G18120	3	8	1	8	6	1
AT2G34500	944	986	289	1476	1039	223
AT2G41920	0	0	0	0	0	0
AT2G04621	0	0	0	0	0	0
AT2G07672	0	0	0	0	0	0
AT2G30570	390	230	53	199	84	24
AT2G20780	723	720	185	724	329	60
AT2G31160	21	21	2	81	29	9
AT2G11000	289	293	87	352	206	42
AT2G26040	14	6	2	46	18	2
AT2G35030	46	31	14	79	35	11
AT2G06990	539	539	196	906	424	86
AT2G05120	251	235	82	419	174	45
AT2G29710	35	41	8	77	34	5
AT2G43235	68	75	21	109	50	17
AT2G04650	173	200	70	220	106	20
AT2G44750	109	99	27	158	75	17
AT2G40450	1	0	0	0	0	0
AT2G18040	864	856	284	1578	741	197
AT2G03220	381	456	146	524	244	50
AT2G23820	152	183	58	244	119	37
AT2G12905	0	0	0	0	0	0
AT2G19220	0	0	0	0	0	0
AT2G39705	115	158	35	91	29	11
AT2G18740	274	405	110	500	224	70
AT2G44550	0	0	0	0	0	0
AT2G47590	315	240	67	421	177	41
AT2G15690	73	81	22	141	67	20
AT2G43220	16	15	6	12	0	1
AT2G20725	199	170	68	201	95	28
AT2G41370	72	112	21	218	106	28
AT2G37940	717	848	278	2072	1049	274
AT2G38890	1	0	2	2	0	0
AT2G25760	717	682	258	1062	503	107
AT2G10955	0	0	0	0	0	0
AT2G07708	0	0	0	0	0	0
AT2G46494	1	0	0	0	1	0
AT2G43800	121	104	30	456	222	42
AT2G37070	14	4	1	18	12	2
AT2G36355	32	35	14	39	12	5
AT2G48120	88	56	32	95	45	8
AT2G15780	1	0	0	242	162	68
AT2G14920	15	5	3	5	1	0
AT2G19660	63	36	12	33	5	6
AT2G48140	736	800	215	873	364	40
AT2G35520	107	140	37	191	69	22
AT2G23990	0	0	0	0	0	0
AT2G20060	445	364	117	636	328	96
AT2G01045	0	0	0	0	0	0
AT2G16595	174	198	57	255	101	33
AT2G20510	2	2	0	2	0	0
AT2G04020	0	1	0	0	0	0
AT2G15240	506	545	218	626	272	55
AT2G19910	2	2	0	3	2	0
AT2G40390	130	240	65	325	186	28
AT2G28110	804	1097	372	766	485	87
AT2G36640	3	0	0	7	3	0
AT2G45770	102	91	24	179	120	22
AT2G30790	8	4	0	2	4	0
AT2G40060	807	759	227	1281	593	141
AT2G25110	815	715	206	1836	853	166
AT2G20100	54	56	22	78	36	8
AT2G31725	54	55	16	90	47	14
AT2G46450	185	183	74	356	264	48
AT2G18710	379	398	141	346	180	51
AT2G40490	267	273	78	232	97	35
AT2G42465	0	0	0	0	0	0
AT2G24350	24	10	13	8	3	0
AT2G32230	155	152	49	234	98	37
AT2G19790	382	311	93	510	218	36
AT2G03610	0	1	0	0	0	0
AT2G04045	0	0	0	0	0	0
AT2G30400	132	132	49	157	143	28
AT2G29760	68	73	20	93	32	12
AT2G45120	30	21	6	23	11	5
AT2G22795	940	1245	676	1176	697	78
AT2G14700	0	0	0	0	0	0
AT2G01200	6	2	2	4	1	0
AT2G45490	26	37	11	44	31	6
AT2G28671	4	13	3	7	6	0
AT2G41140	410	490	177	857	351	98
AT2G23580	0	0	0	0	0	0
AT2G04235	115	75	42	176	94	21
AT2G28100	179	135	41	156	80	19
AT2G26850	0	0	0	0	0	0
AT2G06000	181	155	73	231	114	25
AT2G36885	125	113	34	229	95	21
AT2G29600	0	0	0	1	0	0
AT2G17785	0	0	0	0	0	0
AT2G31270	132	114	40	149	70	17
AT2G25460	103	128	29	602	451	79
AT2G33810	0	0	0	0	0	0
AT2G42370	0	0	0	0	0	0
AT2G34310	268	308	106	409	172	47
AT2G36300	226	248	49	406	228	34
AT2G44040	81	61	24	122	65	11
AT2G36780	7	1	2	45	49	8
AT2G29628	0	0	0	0	0	0
AT2G24080	0	0	0	0	0	0
AT2G19930	182	164	78	136	82	12
AT2G02750	18	19	4	36	19	4
AT2G16520	0	0	0	0	0	0
AT2G03150	714	683	282	1076	521	96
AT2G28605	19	32	13	14	5	0
AT2G26960	0	0	0	0	0	0
AT2G24195	0	0	0	33	23	9
AT2G38620	42	46	21	70	33	11
AT2G40530	22	31	6	23	12	4
AT2G02690	34	20	9	27	13	0
AT2G37435	0	0	0	0	0	0
AT2G42140	13	34	18	14	15	0
AT2G33080	0	0	0	0	0	0
AT2G04046	0	0	0	0	0	0
AT2G33655	0	0	0	0	0	0
AT2G33610	344	353	109	418	214	48
AT2G40165	0	0	0	0	0	0
AT2G07661	0	0	0	0	0	0
AT2G44540	0	0	0	0	0	0
AT2G05270	0	8	4	3	4	0
AT2G34120	0	0	0	0	0	0
AT2G43770	279	275	87	430	190	36
AT2G34730	466	497	236	639	366	78
AT2G38600	27	8	5	23	24	3
AT2G07170	104	84	34	117	72	17
AT2G10025	0	0	0	0	0	0
AT2G18000	33	68	16	61	35	6
AT2G34990	2	5	1	6	5	0
AT2G38580	274	252	96	455	195	44
AT2G06520	305	206	57	139	67	13
AT2G47485	297	288	114	292	187	38
AT2G07806	6	3	0	5	0	0
AT2G17890	15	15	4	9	4	0
AT2G30800	360	347	116	559	222	54
AT2G44180	668	612	233	813	406	97
AT2G40940	1548	2017	510	2204	940	284
AT2G14100	527	503	164	276	103	19
AT2G11520	434	496	179	878	440	100
AT2G03450	361	400	155	463	214	50
AT2G07724	0	0	0	0	0	0
AT2G31970	537	606	220	809	442	80
AT2G39450	304	199	81	1276	612	145
AT2G33233	0	0	0	0	0	0
AT2G47360	328	262	112	226	113	10
AT2G39975	0	0	0	0	0	0
AT2G36590	1	1	1	5	0	0
AT2G21800	28	17	12	55	19	5
AT2G23590	0	0	0	0	0	0
AT2G32170	446	389	179	671	279	73
AT2G41350	130	118	43	189	76	30
AT2G01800	0	0	0	0	0	0
AT2G45330	458	483	179	662	270	67
AT2G19860	203	217	68	363	158	26
AT2G27060	145	159	59	320	125	40
AT2G35800	363	301	131	340	156	38
AT2G35658	13	9	3	33	29	0
AT2G25420	120	85	41	154	89	12
AT2G33220	713	580	194	1015	530	127
AT2G01390	35	39	14	80	60	8
AT2G41960	701	774	289	1004	548	80
AT2G32220	43	28	13	120	40	6
AT2G18840	219	174	73	250	121	17
AT2G23800	0	0	0	0	0	0
AT2G31460	0	0	0	0	0	0
AT2G34330	0	0	0	0	0	0
AT2G21150	220	185	71	488	228	45
AT2G44480	101	84	47	151	96	32
AT2G23510	0	0	0	0	0	0
AT2G22890	21	14	8	24	10	1
AT2G23321	0	0	0	0	0	0
AT2G21850	514	576	167	656	270	58
AT2G18810	0	0	0	0	0	0
AT2G39490	0	0	0	5	3	1
AT2G46910	72	96	32	107	51	13
AT2G47070	1207	1109	406	2059	1007	206
AT2G45520	181	188	66	378	181	27
AT2G01980	621	667	245	1053	437	102
AT2G43920	116	99	21	14	2	0
AT2G26510	742	795	263	1013	446	117
AT2G30300	0	0	0	3	1	0
AT2G19150	35	37	13	33	11	0
AT2G44990	0	1	1	2	2	0
AT2G32760	174	207	79	248	110	30
AT2G13542	0	0	0	0	0	0
AT2G14255	369	271	143	624	286	40
AT2G14720	1296	1149	496	2243	974	202
AT2G30110	2589	2202	741	4439	2091	536
AT2G26270	75	42	15	63	33	3
AT2G40540	371	331	101	729	260	56
AT2G18193	326	229	101	1387	1061	334
AT2G32060	1371	1177	306	1923	958	261
AT2G24010	2	4	0	1	1	0
AT2G22490	371	409	143	571	275	78
AT2G04675	0	0	0	0	0	0
AT2G27130	42	36	8	59	26	7
AT2G26730	727	738	252	1176	478	95
AT2G05410	0	0	0	0	0	0
AT2G12200	0	0	0	0	0	0
AT2G46540	164	205	52	325	123	34
AT2G26650	2493	2917	1025	3564	1701	380
AT2G04930	0	0	0	0	0	0
AT2G16460	178	193	63	321	159	53
AT2G46040	105	81	41	149	61	15
AT2G43910	4387	4444	1138	3140	1735	226
AT2G42340	3	5	0	10	8	1
AT2G14290	1	4	0	33	24	5
AT2G43050	338	130	80	232	43	12
AT2G25770	10	6	1	19	10	3
AT2G01960	0	0	0	0	0	0
AT2G25270	84	54	22	183	67	14
AT2G45630	99	108	24	94	39	8
AT2G33175	0	0	0	0	0	0
AT2G02960	1037	1003	382	834	358	49
AT2G46320	98	93	27	175	73	20
AT2G07636	0	0	0	0	0	0
AT2G28210	73	130	34	30	51	17
AT2G01667	0	0	0	0	0	0
AT2G25010	281	304	108	402	198	43
AT2G44820	223	258	88	338	150	45
AT2G25740	267	273	112	459	179	48
AT2G22241	0	0	0	0	0	0
AT2G18721	0	0	0	0	0	0
AT2G31690	0	0	0	1	1	0
AT2G38250	39	49	14	180	132	43
AT2G07681	3	1	0	2	0	0
AT2G19400	20	16	5	25	7	5
AT2G18360	166	188	84	1124	490	114
AT2G17265	318	233	63	569	276	81
AT2G32275	0	0	0	0	0	0
AT2G05070	371	24	23	48	26	9
AT2G25570	89	90	34	205	88	23
AT2G46060	226	231	84	329	160	36
AT2G36830	14048	9420	2691	2601	915	115
AT2G41300	61	38	12	122	58	15
AT2G04160	957	631	143	1273	517	101
AT2G02370	299	333	96	494	292	65
AT2G33850	34	22	11	85	54	15
AT2G46250	33	31	8	34	14	3
AT2G17560	578	587	206	944	410	123
AT2G04340	130	112	42	177	74	24
AT2G01970	1073	1099	313	1589	693	152
AT2G14170	1663	1523	490	1172	642	144
AT2G01720	1070	1020	292	1311	623	143
AT2G19240	31	38	16	86	33	9
AT2G09970	0	0	0	0	0	0
AT2G18620	16	13	5	22	7	3
AT2G03820	1051	1240	349	1379	672	176
AT2G30760	3	1	1	5	4	1
AT2G16650	274	283	82	354	164	54
AT2G07750	0	0	0	0	0	0
AT2G24617	0	0	0	0	0	0
AT2G46650	176	154	42	1680	708	172
AT2G31050	0	0	0	0	0	0
AT2G47000	3594	4063	1434	10150	5351	1188
AT2G33385	16	18	5	27	24	6
AT2G33310	831	755	306	1948	938	278
AT2G34600	14	25	4	31	17	2
AT2G42955	2	5	0	5	0	0
AT2G38150	0	0	0	0	0	0
AT2G25190	198	228	72	318	159	44
AT2G04515	2	0	0	3	3	1
AT2G44870	304	249	81	421	178	51
AT2G13905	0	0	0	0	0	0
AT2G44100	2258	2318	827	3920	1752	452
AT2G36100	1302	804	291	703	285	27
AT2G07827	1	2	2	3	1	1
AT2G38450	77	92	19	157	86	35
AT2G39310	4489	4595	2149	16087	6356	817
AT2G03567	0	0	0	0	0	0
AT2G04062	0	0	0	0	0	0
AT2G36720	584	462	202	577	291	79
AT2G07715	20	9	3	33	18	5
AT2G18600	16	22	10	71	40	9
AT2G17700	244	250	98	462	224	51
AT2G42320	293	266	133	302	143	38
AT2G46050	3	4	2	6	2	2
AT2G47940	404	295	95	346	158	46
AT2G05320	431	372	180	527	245	59
AT2G29860	0	0	0	0	0	0
AT2G15490	1389	1495	464	6017	4754	1151
AT2G19470	390	471	166	841	361	86
AT2G44980	297	307	136	447	187	41
AT2G20362	10	6	5	12	13	1
AT2G01060	399	424	96	566	260	60
AT2G22475	231	245	52	452	180	55
AT2G44400	1	0	1	0	1	0
AT2G45290	1216	1169	398	3099	1348	353
AT2G34250	4308	4079	1177	5574	2699	654
AT2G28920	1	0	0	0	0	0
AT2G28580	0	0	0	0	0	0
AT2G18250	162	203	62	227	101	22
AT2G44420	195	228	68	275	131	27
AT2G23660	0	0	0	0	0	0
AT2G27390	0	0	0	0	0	0
AT2G20110	43	40	12	78	29	9
AT2G29200	495	484	169	900	390	89
AT2G28190	1503	1135	387	2688	1238	390
AT2G44330	0	0	0	0	0	0
AT2G38240	0	4	0	23	17	2
AT2G35810	459	514	146	801	271	83
AT2G15220	316	228	94	1119	513	76
AT2G24762	369	283	102	397	150	21
AT2G25880	99	68	15	59	33	6
AT2G21370	55	50	18	36	26	3
AT2G46735	61	81	20	92	56	9
AT2G11010	0	0	0	0	0	0
AT2G44020	141	158	48	168	92	39
AT2G03810	385	545	163	408	217	42
AT2G41500	368	296	110	422	226	44
AT2G40930	452	420	147	598	312	72
AT2G15910	232	300	82	351	174	36
AT2G01379	3	0	2	10	13	5
AT2G46765	0	0	0	0	0	0
AT2G32660	137	148	73	250	93	20
AT2G18640	11	7	5	4	1	0
AT2G40435	0	0	1	0	0	0
AT2G31240	181	214	47	349	180	35
AT2G29730	358	312	133	350	165	34
AT2G27960	257	343	91	314	151	48
AT2G25530	95	207	51	280	146	30
AT2G21640	9	10	1	118	110	36
AT2G38230	109	83	16	70	64	7
AT2G05180	67	80	30	62	29	3
AT2G23430	67	83	31	85	35	13
AT2G41220	4281	4420	1795	7843	3368	753
AT2G35920	931	876	378	1262	611	122
AT2G19690	25	20	2	27	16	2
AT2G45240	498	451	159	963	415	109
AT2G32350	0	0	0	0	0	0
AT2G05520	446	392	96	473	156	53
AT2G41420	401	346	77	746	418	86
AT2G34430	399	64	27	48	2	7
AT2G04220	0	0	1	0	0	0
AT2G07702	0	0	0	0	0	0
AT2G11851	0	0	0	0	0	0
AT2G18170	425	548	171	661	346	91
AT2G43620	16	2	5	72	50	19
AT2G06960	0	0	0	0	0	0
AT2G03840	0	0	0	0	0	0
AT2G37025	3	9	2	4	1	0
AT2G43945	137	171	58	198	97	19
AT2G16930	362	342	90	426	192	59
AT2G43465	31	28	21	34	28	2
AT2G31230	34	52	13	57	20	5
AT2G38290	314	282	83	944	522	120
AT2G27330	75	90	32	105	43	12
AT2G22600	19	13	8	45	7	2
AT2G03530	54	45	28	149	114	29
AT2G18350	89	102	28	123	59	7
AT2G14120	1144	1094	366	1790	828	201
AT2G28250	623	648	279	863	331	59
AT2G30933	35	24	20	83	35	8
AT2G20300	352	273	88	500	266	57
AT2G05786	0	0	0	0	0	0
AT2G19310	180	355	80	707	413	88
AT2G18685	0	0	0	0	0	0
AT2G38410	708	598	205	911	407	99
AT2G27980	373	368	153	551	270	54
AT2G05117	0	0	0	0	0	0
AT2G40890	1344	1498	406	3593	1401	389
AT2G32780	0	1	0	0	0	0
AT2G02660	0	0	0	0	0	0
AT2G41520	332	363	148	581	239	67
AT2G34390	6	6	2	18	6	1
AT2G07667	2	5	2	5	1	0
AT2G24280	274	205	94	166	100	17
AT2G17170	0	0	0	0	0	0
AT2G11225	2960	3209	1423	3113	1557	219
AT2G41060	448	442	209	505	245	41
AT2G39940	673	673	242	840	367	76
AT2G45910	837	919	354	1206	566	86
AT2G12480	2	1	0	3	1	0
AT2G37330	54	29	16	245	77	34
AT2G17470	0	0	0	0	0	0
AT2G31980	17	10	4	5	8	0
AT2G18750	1587	1267	540	1893	898	213
AT2G03170	0	0	0	0	0	0
AT2G38905	0	0	0	0	0	0
AT2G15670	0	0	0	0	0	0
AT2G40520	7	7	1	3	1	2
AT2G02790	250	231	88	346	150	35
AT2G25210	110	155	22	163	83	9
AT2G22530	153	131	59	207	92	20
AT2G15590	1	4	1	9	4	3
AT2G18080	0	0	0	0	0	0
AT2G05970	0	0	0	0	0	0
AT2G07739	10	11	3	8	5	3
AT2G23360	80	108	27	131	67	10
AT2G22050	0	0	0	0	0	0
AT2G26640	260	256	88	257	100	25
AT2G46700	236	256	95	676	298	76
AT2G35330	702	562	263	837	409	79
AT2G35410	141	168	43	140	92	16
AT2G42450	64	106	22	137	60	23
AT2G05510	4045	6477	1280	7224	3488	741
AT2G26380	2	0	2	104	69	14
AT2G21810	0	0	0	0	0	0
AT2G33730	763	605	224	1090	503	93
AT2G37810	6	1	0	4	4	3
AT2G31440	145	142	66	167	73	20
AT2G16620	0	0	0	0	0	0
AT2G40400	332	343	124	314	186	19
AT2G30440	2475	2460	934	4906	2516	613
AT2G13790	241	254	81	702	331	81
AT2G26280	1452	1531	590	1610	846	173
AT2G11005	0	0	0	0	0	0
AT2G17480	248	259	113	1135	502	143
AT2G20618	0	0	0	0	0	0
AT2G13800	172	190	60	237	106	21
AT2G21960	116	167	42	66	50	4
AT2G02050	667	659	174	1058	491	103
AT2G02970	612	714	228	621	329	76
AT2G40030	165	99	36	215	101	13
AT2G43230	17	27	5	23	15	1
AT2G30840	391	459	206	885	405	80
AT2G15610	0	0	0	0	0	1
AT2G30020	131	167	63	529	316	72
