Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G70350	59	57	16	109	39	12
AT1G35375	0	0	0	0	0	0
AT1G28306	0	0	0	0	0	0
AT1G12450	84	117	30	114	55	15
AT1G57660	1133	971	323	1994	824	121
AT1G19086	0	0	0	0	0	0
AT1G05870	262	207	74	410	152	35
AT1G07540	0	0	0	0	0	0
AT1G78820	4	1	0	4	1	1
AT1G03790	18	15	3	6	5	1
AT1G02220	677	955	326	4133	2166	632
AT1G74420	5	8	4	2	5	1
AT1G68700	1	1	0	0	3	0
AT1G64820	3	2	0	1	1	0
AT1G56680	106	88	16	71	24	14
AT1G58848	4	0	0	0	2	0
AT1G23985	0	0	0	0	0	0
AT1G22140	104	106	36	195	98	16
AT1G75210	209	252	93	463	221	55
AT1G30330	710	566	229	1259	598	117
AT1G77200	7	1	1	1	2	2
AT1G30360	4026	5111	1494	3893	2312	464
AT1G75280	721	573	215	1684	781	170
AT1G18200	205	334	110	214	116	17
AT1G55680	995	1104	411	1497	636	174
AT1G34000	316	470	107	263	181	24
AT1G04410	14959	10142	3427	22167	10139	2686
AT1G45243	0	0	0	0	0	0
AT1G21650	115	133	38	263	102	34
AT1G28520	304	313	102	628	280	80
AT1G14048	0	0	0	0	0	0
AT1G05220	64	50	22	50	21	6
AT1G63245	21	57	6	72	33	12
AT1G66180	1379	923	514	11862	4710	1229
AT1G07790	205	189	32	306	188	43
AT1G07720	21	14	4	192	66	27
AT1G16420	10	17	2	15	9	2
AT1G72740	213	266	60	340	159	40
AT1G05060	266	351	95	694	364	135
AT1G55960	373	326	164	653	320	58
AT1G32060	293	167	50	98	34	13
AT1G77700	42	25	6	65	32	6
AT1G75510	284	332	115	568	264	52
AT1G54090	654	702	234	838	374	94
AT1G26520	59	48	19	102	41	8
AT1G15240	654	664	291	951	476	83
AT1G07980	155	163	64	298	111	24
AT1G01740	86	85	27	180	76	21
AT1G62914	95	63	33	107	42	4
AT1G53090	92	161	49	239	113	20
AT1G08540	166	135	61	151	55	9
AT1G12460	85	82	24	78	39	5
AT1G06250	16	17	3	22	12	1
AT1G52827	1	0	0	4	3	1
AT1G47690	2	4	1	2	3	1
AT1G49590	236	269	95	319	168	30
AT1G06280	1	0	0	0	0	0
AT1G78420	816	902	383	1222	645	132
AT1G08465	0	0	0	0	0	0
AT1G32970	1	1	0	92	39	3
AT1G28815	1	1	0	4	0	0
AT1G01260	271	312	123	579	264	57
AT1G26815	0	0	0	0	0	0
AT1G16730	1	2	1	3	0	0
AT1G08700	607	403	147	596	308	57
AT1G66590	51	71	18	91	32	16
AT1G09550	0	0	0	0	0	0
AT1G16370	223	310	86	342	132	16
AT1G80730	17	16	4	48	12	4
AT1G11420	116	105	47	216	87	27
AT1G61210	449	577	164	622	268	49
AT1G57980	30	13	16	48	13	3
AT1G15140	148	122	44	284	133	31
AT1G04810	1143	972	363	1707	814	208
AT1G67070	67	120	16	220	183	53
AT1G53270	103	129	48	312	146	38
AT1G04550	168	160	87	291	146	35
AT1G44940	0	0	0	0	0	0
AT1G47810	0	0	0	0	0	0
AT1G27450	1205	1158	310	1878	858	226
AT1G33055	55	66	36	95	31	7
AT1G69400	34	26	10	38	22	6
AT1G51920	0	0	0	16	12	3
AT1G56000	88	61	16	48	62	17
AT1G42540	308	299	116	402	221	45
AT1G08100	0	0	0	0	0	0
AT1G29465	51	44	17	40	12	5
AT1G75960	20	7	5	17	12	2
AT1G63420	161	141	69	174	78	17
AT1G29470	2366	2472	875	2973	1316	271
AT1G48310	135	142	45	184	84	26
AT1G32930	148	119	30	174	79	20
AT1G63880	92	78	24	84	43	5
AT1G04630	246	174	59	284	143	40
AT1G27150	523	518	191	878	435	155
AT1G79110	62	45	13	69	24	3
AT1G68490	540	617	202	642	363	65
AT1G06040	834	1073	234	708	559	63
AT1G18970	1478	1547	452	2581	1493	460
AT1G72430	359	359	139	389	151	38
AT1G03040	509	491	178	1105	494	130
AT1G28250	229	242	68	308	129	27
AT1G66630	0	0	0	0	0	0
AT1G10530	29	19	5	47	15	6
AT1G24090	25	22	9	37	22	10
AT1G09640	3871	3277	1024	5148	2528	691
AT1G14080	356	329	90	288	125	27
AT1G78760	1	0	0	0	0	0
AT1G44542	4	3	1	15	10	3
AT1G49350	79	85	18	116	47	11
AT1G47240	234	312	94	367	175	49
AT1G28430	0	0	0	2	1	1
AT1G12190	0	0	0	0	0	0
AT1G66610	0	0	0	10	4	0
AT1G16022	6	1	0	5	0	0
AT1G13370	0	0	0	4	1	0
AT1G21370	378	479	173	569	267	76
AT1G21590	836	870	289	837	518	83
AT1G50390	24	50	7	55	24	5
AT1G60870	163	121	41	199	73	33
AT1G69870	39	9	14	161	67	15
AT1G18610	69	121	38	145	51	20
AT1G13890	0	0	0	0	0	0
AT1G24260	2	0	0	1	0	0
AT1G64140	1658	1457	586	2901	1273	267
AT1G02290	103	108	42	184	69	33
AT1G26740	128	121	33	241	104	37
AT1G20460	185	203	56	246	107	34
AT1G11500	8	6	2	6	5	3
AT1G75040	0	0	0	0	0	0
